Ejecucion, BB (%), LOP (%), ILI (%), HEAL (%), QUI (%), AUA (%), Rendimiento (%), Riesgo, Aptitud
1, 23.2305, 20.5725, 1.9397, 20.6823, 20.2657, 13.3091, 38.8825, 0.001998, -0.388825
2, 24.1980, 22.0881, 2.2236, 19.8490, 19.9070, 11.7344, 38.9422, 0.001995, -0.389422
3, 24.8710, 22.9197, 1.9394, 20.0727, 20.3936, 9.8036, 38.8983, 0.001996, -0.388983
4, 25.6778, 20.0696, 2.6402, 19.9989, 20.3359, 11.2776, 38.9422, 0.001995, -0.389422
5, 24.5853, 22.4796, 1.5666, 20.4138, 21.2234, 9.7313, 38.8141, 0.001989, -0.388141
6, 25.5343, 21.0817, 2.5412, 20.3691, 19.7238, 10.7499, 38.9848, 0.001997, -0.389848
7, 25.1541, 19.9136, 2.5149, 20.2176, 20.4288, 11.7709, 38.9468, 0.001998, -0.389468
8, 25.4534, 19.3085, 2.5884, 19.5642, 20.9800, 12.1055, 38.8532, 0.001998, -0.388532
9, 24.1254, 21.0707, 2.2379, 21.4275, 18.4652, 12.6733, 38.9224, 0.001981, -0.389224
10, 24.9028, 19.7093, 2.3842, 20.8637, 19.9460, 12.1941, 38.9079, 0.001993, -0.389079

Indicador, Valor
Mejor,          -0.389848
Media,          -0.389094
Peor,           -0.388141
Desv. estandar, 0.000474

Solucion optima (mejor ejecucion)
Accion, Fraccion, %
BB, 0.255343, 25.5343%
LOP, 0.210817, 21.0817%
ILI, 0.025412, 2.5412%
HEAL, 0.203691, 20.3691%
QUI, 0.197238, 19.7238%
AUA, 0.107499, 10.7499%
Rendimiento esperado, 38.9848%
Riesgo (varianza),    0.001997
