Prueba, Mejor BB, Mejor LOP, Mejor ILI, Mejor HEAL, Mejor QUI, Mejor AUA, Mejor Rendimiento, Mejor Riesgo, Mejor Aptitud, Peor BB, Peor LOP, Peor ILI, Peor HEAL, Peor QUI, Peor AUA, Peor Rendimiento, Peor Riesgo, Peor Aptitud, Mediana, Desviacion Estandar
0, 0.234770, 0.235690, 0.010840, 0.212184, 0.199009, 0.107507, 0.386672, 0.001975, -0.386672, 0.367202, 0.248531, 0.037266, 0.152075, 0.266943, 0.112878, 0.447784, 0.003577, 18646.748215, 116.160669, 4648.075778
1, 0.249968, 0.218612, 0.020778, 0.227875, 0.158941, 0.123826, 0.386787, 0.001979, -0.386787, 0.232839, 0.227675, 0.031709, 0.240542, 0.165492, 0.138964, 0.411987, 0.002468, 3768.488303, 25.208154, 759.140563
2, 0.241740, 0.206741, 0.024466, 0.210223, 0.181817, 0.135013, 0.388896, 0.001993, -0.388896, 0.266381, 0.211295, 0.024429, 0.234078, 0.183082, 0.139910, 0.409679, 0.002175, 5934.589204, -0.382917, 1061.038570
3, 0.245562, 0.240364, 0.013421, 0.218246, 0.172106, 0.110302, 0.384868, 0.001968, -0.384868, 0.281972, 0.179417, 0.037987, 0.245049, 0.206765, 0.189024, 0.444081, 0.003006, 14121.664643, 54.138728, 3178.798413
4, 0.230923, 0.217544, 0.017858, 0.196246, 0.202521, 0.134908, 0.387166, 0.001962, -0.387166, 0.200245, 0.148563, 0.086894, 0.213137, 0.297217, 0.187276, 0.488811, 0.006499, 13782.639824, 293.778516, 3581.726837
5, 0.269743, 0.187371, 0.028075, 0.184105, 0.216400, 0.114305, 0.386608, 0.001999, -0.386608, 0.304564, 0.207236, 0.074305, 0.211388, 0.179304, 0.159283, 0.458215, 0.004528, 13860.306248, 240.552126, 4146.453571
6, 0.219069, 0.243943, 0.001415, 0.215689, 0.195428, 0.124457, 0.382763, 0.001978, -0.382763, 0.214322, 0.294942, 0.051386, 0.239258, 0.177885, 0.192262, 0.477261, 0.004943, 17299.405850, 148.514895, 4310.377389
7, 0.234645, 0.193657, 0.017027, 0.201435, 0.199975, 0.153262, 0.383976, 0.001948, -0.383976, 0.334354, 0.173930, 0.130812, 0.270427, 0.120350, 0.153472, 0.507349, 0.007788, 18912.754765, 463.685217, 4342.215381
8, 0.258111, 0.196913, 0.026972, 0.197187, 0.200603, 0.120214, 0.388233, 0.001975, -0.388233, 0.251406, 0.221655, 0.027721, 0.242847, 0.265439, 0.162759, 0.463450, 0.003314, 17313.575778, 42.493414, 2424.891424
9, 0.234172, 0.218108, 0.000074, 0.146181, 0.280823, 0.120641, 0.376976, 0.001975, -0.376976, 0.304854, 0.196336, 0.105190, 0.244625, 0.279377, 0.162707, 0.548260, 0.006897, 29798.013110, 322.785452, 4220.855933
