Ejecucion, BB (%), LOP (%), ILI (%), HEAL (%), QUI (%), AUA (%), Rendimiento (%), Riesgo, Aptitud
1, 0.0280, 12.6791, 26.1179, 39.1547, 9.1545, 12.8658, 59.0969, 0.019960, -0.590969
2, 0.0366, 18.2625, 25.1747, 39.7529, 8.5312, 8.2421, 59.1257, 0.019947, -0.591257
3, 0.1064, 14.3318, 25.6315, 39.5733, 9.9635, 10.3935, 59.1601, 0.019971, -0.591601
4, 0.2919, 15.9660, 25.2072, 39.2521, 10.7641, 8.5187, 59.1044, 0.019957, -0.591044
5, 0.1602, 18.0005, 25.0512, 39.7437, 9.2765, 7.7679, 59.1129, 0.019941, -0.591129
6, 0.9744, 14.7324, 26.0316, 39.3280, 8.1803, 10.7533, 59.0670, 0.019943, -0.590670
7, 0.0425, 13.6725, 26.2307, 39.5652, 7.7255, 12.7636, 59.1471, 0.019974, -0.591471
8, 0.0127, 15.1941, 25.9433, 39.9855, 7.6704, 11.1940, 59.2067, 0.019975, -0.592067
9, 0.0652, 14.0405, 25.5810, 39.2969, 10.5018, 10.5145, 59.1247, 0.019953, -0.591247
10, 0.1181, 15.6893, 26.1196, 39.7675, 6.4642, 11.8413, 59.1424, 0.019977, -0.591424

Indicador, Valor
Mejor,          -0.592067
Media,          -0.591288
Peor,           -0.590670
Desv. estandar, 0.000364

Solucion optima (mejor ejecucion)
Accion, Fraccion, %
BB, 0.000127, 0.0127%
LOP, 0.151941, 15.1941%
ILI, 0.259433, 25.9433%
HEAL, 0.399855, 39.9855%
QUI, 0.076704, 7.6704%
AUA, 0.111940, 11.1940%
Rendimiento esperado, 59.2067%
Riesgo (varianza),    0.019975
