Ejecucion, BB (%), LOP (%), ILI (%), HEAL (%), QUI (%), AUA (%), Rendimiento (%), Riesgo, Aptitud
1, 31.6081, 19.5604, 0.0015, 16.5807, 21.1590, 11.0902, 35.8890, 0.001364, 0.001364
2, 31.6284, 19.7519, 0.0010, 16.9956, 20.1250, 11.4982, 35.8272, 0.001369, 0.001369
3, 31.8293, 19.9635, 0.0002, 16.8181, 21.0096, 10.3792, 35.9380, 0.001361, 0.001361
4, 32.2988, 19.7759, 0.0019, 16.7310, 20.9974, 10.1949, 35.8504, 0.001362, 0.001362
5, 32.3904, 19.7713, 0.0055, 16.3160, 21.1649, 10.3519, 35.7870, 0.001364, 0.001364
6, 31.3284, 19.7834, 0.0166, 17.3977, 20.8217, 10.6522, 36.0638, 0.001368, 0.001368
7, 31.7242, 19.4907, 0.0025, 16.7145, 20.7519, 11.3162, 35.8314, 0.001366, 0.001366
8, 31.7797, 19.9126, 0.0014, 17.2204, 20.7586, 10.3273, 35.9780, 0.001363, 0.001363
9, 31.4454, 20.0246, 0.0018, 16.8815, 21.0755, 10.5711, 36.0081, 0.001361, 0.001361
10, 32.0190, 19.4121, 0.0087, 16.7887, 20.7448, 11.0267, 35.8106, 0.001364, 0.001364

Indicador, Valor
Mejor,          0.001361
Media,          0.001364
Peor,           0.001369
Desv. estandar, 0.000003

Solucion optima (mejor ejecucion)
Accion, Fraccion, %
BB, 0.318293, 31.8293%
LOP, 0.199635, 19.9635%
ILI, 0.000002, 0.0002%
HEAL, 0.168181, 16.8181%
QUI, 0.210096, 21.0096%
AUA, 0.103792, 10.3792%
Rendimiento esperado, 35.9380%
Riesgo (varianza),    0.001361
