Ejecucion, BB (%), LOP (%), ILI (%), HEAL (%), QUI (%), AUA (%), Rendimiento (%), Riesgo, Aptitud
1, 0.0008, 0.0101, 39.9984, 39.9984, 19.9793, 0.0129, 69.1964, 0.045463, -0.691964
2, 0.0302, 0.2367, 39.9961, 39.9961, 19.7391, 0.0020, 69.1801, 0.045320, -0.691801
3, 0.0008, 19.9365, 39.9970, 0.0666, 39.9970, 0.0020, 66.8030, 0.066778, -0.668030
4, 0.0249, 0.0107, 39.9994, 39.9994, 19.9636, 0.0020, 69.1925, 0.045456, -0.691925
5, 0.0369, 0.0482, 39.9961, 39.9961, 19.9052, 0.0176, 69.1834, 0.045413, -0.691834
6, 0.0002, 0.0314, 39.9998, 39.9998, 19.9652, 0.0036, 69.1980, 0.045459, -0.691980
7, 0.0008, 0.0233, 39.9884, 39.9884, 19.9801, 0.0190, 69.1891, 0.045440, -0.691891
8, 0.0003, 0.0741, 39.9989, 39.9989, 19.9278, 0.0000, 69.1963, 0.045436, -0.691963
9, 0.0556, 0.4155, 39.9982, 39.9982, 19.5314, 0.0011, 69.1677, 0.045207, -0.691677
10, 0.0148, 0.0000, 39.9976, 39.9976, 19.9880, 0.0020, 69.1944, 0.045467, -0.691944

Indicador, Valor
Mejor,          -0.691980
Media,          -0.689501
Peor,           -0.668030
Desv. estandar, 0.007157

Solucion optima (mejor ejecucion)
Accion, Fraccion, %
BB, 0.000002, 0.0002%
LOP, 0.000314, 0.0314%
ILI, 0.399998, 39.9998%
HEAL, 0.399998, 39.9998%
QUI, 0.199652, 19.9652%
AUA, 0.000036, 0.0036%
Rendimiento esperado, 69.1980%
Riesgo (varianza),    0.045459
