experimento,problema,run,tam_poblacion,n_generaciones,nc,nm,prob_cruce,prob_mutacion,torneo,penalizacion,BB,LOP,ILI,HEAL,QUI,AUA,rendimiento,riesgo,fitness,err_rendimiento,err_riesgo,tiempo_seg
4,P1,1,100,500,15,20,0.9,0.05,3,100000.0,0.0,0.064213,0.399966,0.382867,0.152866,8.9e-05,0.688713,0.043184,-0.688713,0.003287,0.002296,0
4,P1,2,100,500,15,20,0.9,0.05,3,100000.0,0.0,0.162556,0.399963,0.255928,0.180129,0.001424,0.679487,0.047721,-0.679487,0.012513,0.002241,0
4,P1,3,100,500,15,20,0.9,0.05,3,100000.0,8.1e-05,0.16285,0.4,0.393016,0.042294,0.001758,0.684904,0.043166,-0.684904,0.007096,0.002314,0
4,P1,4,100,500,15,20,0.9,0.05,3,100000.0,0.0,0.100383,0.399948,0.399682,0.098588,0.001399,0.68772,0.042268,-0.68772,0.00428,0.003212,0
4,P1,5,100,500,15,20,0.9,0.05,3,100000.0,0.0,0.089553,0.399989,0.393456,0.116973,3e-05,0.688145,0.042536,-0.688145,0.003855,0.002944,0
4,P1,6,100,500,15,20,0.9,0.05,3,100000.0,0.0,0.086332,0.395477,0.395477,0.122713,0.0,0.685924,0.041825,-0.685924,0.006076,0.003655,0
4,P1,7,100,500,15,20,0.9,0.05,3,100000.0,0.0,0.004755,0.39999,0.252055,0.3432,0.0,0.685887,0.049849,-0.685887,0.006113,0.004369,0
4,P1,8,100,500,15,20,0.9,0.05,3,100000.0,0.0,0.156344,0.4,0.368795,0.074859,2e-06,0.684498,0.043588,-0.684498,0.007502,0.001892,0
4,P1,9,100,500,15,20,0.9,0.05,3,100000.0,0.0,0.001452,0.399999,0.386641,0.211907,0.0,0.691407,0.045653,-0.691407,0.000593,0.000173,0
4,P1,10,100,500,15,20,0.9,0.05,3,100000.0,0.0,0.127219,0.399578,0.398308,0.074895,0.0,0.686616,0.042349,-0.686616,0.005384,0.003131,0
4,P1,11,100,500,15,20,0.9,0.05,3,100000.0,1e-06,0.065092,0.399719,0.371926,0.163255,7e-06,0.68812,0.043379,-0.68812,0.00388,0.002101,0
4,P1,12,100,500,15,20,0.9,0.05,3,100000.0,0.0,0.007543,0.399992,0.399454,0.193012,0.0,0.691672,0.045066,-0.691672,0.000328,0.000414,0
4,P1,13,100,500,15,20,0.9,0.05,3,100000.0,0.0,0.070489,0.399915,0.345212,0.18361,0.000773,0.686819,0.043953,-0.686819,0.005181,0.001527,0
4,P1,14,100,500,15,20,0.9,0.05,3,100000.0,0.0,0.0,0.399984,0.309329,0.290686,1e-06,0.688365,0.04785,-0.688365,0.003635,0.00237,0
4,P1,15,100,500,15,20,0.9,0.05,3,100000.0,0.0,0.141613,0.399992,0.387549,0.067558,0.003288,0.685307,0.042745,-0.685307,0.006693,0.002735,0
7,P1,1,200,500,15,20,0.9,0.05,3,100000.0,0.000321,0.056866,0.399999,0.31344,0.229064,0.00031,0.686129,0.04529,-0.686129,0.005871,0.00019,0
7,P1,2,200,500,15,20,0.9,0.05,3,100000.0,0.0,2.8e-05,0.398989,0.317142,0.271301,0.012539,0.686133,0.046623,-0.686133,0.005867,0.001143,0
7,P1,3,200,500,15,20,0.9,0.05,3,100000.0,0.003284,0.171168,0.3999,0.399827,0.00172,0.0241,0.680383,0.042925,-0.680383,0.011617,0.002555,0
7,P1,4,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.040264,0.399336,0.397721,0.161216,0.001463,0.689705,0.043437,-0.689705,0.002295,0.002043,0
7,P1,5,200,500,15,20,0.9,0.05,3,100000.0,0.00375,0.050224,0.399984,0.351598,0.188791,0.005652,0.686167,0.043865,-0.686167,0.005833,0.001615,0
7,P1,6,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.213736,0.399784,0.241237,0.145243,0.0,0.676983,0.050603,-0.676983,0.015017,0.005123,0
7,P1,7,200,500,15,20,0.9,0.05,3,100000.0,0.000325,0.137604,0.39998,0.206921,0.255169,0.0,0.678678,0.049601,-0.678678,0.013322,0.004121,0
7,P1,8,200,500,15,20,0.9,0.05,3,100000.0,0.000579,0.078613,0.4,0.375168,0.141943,0.003697,0.68712,0.042888,-0.68712,0.00488,0.002592,0
7,P1,9,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.097972,0.399999,0.324919,0.17711,0.0,0.685077,0.044273,-0.685077,0.006923,0.001207,0
7,P1,10,200,500,15,20,0.9,0.05,3,100000.0,0.000523,0.017532,0.399987,0.294374,0.284043,0.003541,0.686364,0.04722,-0.686364,0.005636,0.00174,0
7,P1,11,200,500,15,20,0.9,0.05,3,100000.0,1e-06,0.135376,0.399987,0.277931,0.186704,1e-06,0.681695,0.046186,-0.681695,0.010305,0.000706,0
7,P1,12,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.109272,0.399925,0.284422,0.192657,0.013724,0.680769,0.045287,-0.680769,0.011231,0.000193,0
7,P1,13,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.057672,0.399958,0.295934,0.230832,0.015605,0.683011,0.045193,-0.683011,0.008989,0.000287,0
7,P1,14,200,500,15,20,0.9,0.05,3,100000.0,0.006857,0.121577,0.399968,0.287984,0.171301,0.012313,0.678886,0.045124,-0.678886,0.013114,0.000356,0
