experimento,problema,run,tam_poblacion,n_generaciones,nc,nm,prob_cruce,prob_mutacion,torneo,penalizacion,BB,LOP,ILI,HEAL,QUI,AUA,rendimiento,riesgo,fitness,err_rendimiento,err_riesgo,tiempo_seg
2,P2,1,200,500,15,20,0.9,0.05,3,100000.0,0.317682,0.198843,0.0,0.168405,0.208935,0.106136,0.359204,0.00136,0.00136,0.000204,0.0,0
2,P2,2,200,500,15,20,0.9,0.05,3,100000.0,0.317695,0.198835,0.0,0.168393,0.208958,0.106117,0.359203,0.00136,0.00136,0.000203,0.0,0
2,P2,3,200,500,15,20,0.9,0.05,3,100000.0,0.317683,0.198849,0.0,0.168407,0.20894,0.10612,0.359206,0.00136,0.00136,0.000206,0.0,0
2,P2,4,200,500,15,20,0.9,0.05,3,100000.0,0.317705,0.198845,0.0,0.16839,0.20894,0.106121,0.359199,0.00136,0.00136,0.000199,0.0,0
2,P2,5,200,500,15,20,0.9,0.05,3,100000.0,0.317697,0.198843,0.0,0.168368,0.208979,0.106113,0.359202,0.00136,0.00136,0.000202,0.0,0
2,P2,6,200,500,15,20,0.9,0.05,3,100000.0,0.317698,0.198819,0.0,0.168397,0.208942,0.106144,0.359199,0.00136,0.00136,0.000199,0.0,0
2,P2,7,200,500,15,20,0.9,0.05,3,100000.0,0.317699,0.198843,0.0,0.168376,0.208972,0.10611,0.359202,0.00136,0.00136,0.000202,0.0,0
2,P2,8,200,500,15,20,0.9,0.05,3,100000.0,0.317712,0.198836,0.0,0.168411,0.208926,0.106115,0.359199,0.00136,0.00136,0.000199,0.0,0
2,P2,9,200,500,15,20,0.9,0.05,3,100000.0,0.317679,0.198837,0.0,0.168423,0.20893,0.106131,0.359206,0.00136,0.00136,0.000206,0.0,0
2,P2,10,200,500,15,20,0.9,0.05,3,100000.0,0.317683,0.198839,0.0,0.168416,0.208926,0.106136,0.359204,0.00136,0.00136,0.000204,0.0,0
2,P2,11,200,500,15,20,0.9,0.05,3,100000.0,0.317688,0.198838,0.0,0.168394,0.208951,0.106129,0.359203,0.00136,0.00136,0.000203,0.0,0
2,P2,12,200,500,15,20,0.9,0.05,3,100000.0,0.317701,0.198836,0.0,0.168393,0.208948,0.106121,0.3592,0.00136,0.00136,0.0002,0.0,0
