Fecha, Prueba, Mejor X, Mejor Y, Mejor solucion, Peor X, Peor Y, Peor Solucion, Mediana, Desviacion estandar, Probabilidad de mutacion, Probabilidad de cruce
2026-04-12_15-29-12, 0, 9.544537444658303, 0.3865562352186375, -53.946903228759766, 9.655396410025556, 0.3567208746389023, -52.84120178222656, -53.672969818115234, 0.1907675649590992, 0.01, 0.1
2026-04-12_15-29-12, 1, 9.997416039310925, 0.40600243765366517, -55.93568420410156, 9.996100219355109, 0.4690673376885005, -52.680213928222656, -55.93568420410156, 0.49497455393627976, 0.05, 0.2
2026-04-12_15-29-12, 2, 9.99249001846836, 0.40367731709772836, -55.90868377685547, 9.99875984930162, 0.4924023784266317, -50.21515655517578, -55.906681060791016, 0.92648709316224, 0.1, 0.3
2026-04-12_15-29-12, 3, 9.999999835691655, 0.4036887702563444, -55.94014358520508, 9.999999826451518, 0.24424735848636225, -38.791751861572266, -55.94014358520508, 2.719837753127687, 0.2, 0.4
2026-04-12_15-29-12, 4, 9.996488276499598, 0.4060306059425886, -55.935638427734375, 9.99580077599986, 0.6466095572377356, -26.648780822753906, -55.935638427734375, 5.372485591757556, 0.3, 0.5
2026-04-12_15-29-12, 5, 9.999887256897638, 0.40769352782059554, -55.94114303588867, 9.99990982079701, 0.5751010743034395, -37.95088577270508, -55.94114303588867, 3.393891380982313, 0.4, 0.6
2026-04-12_15-29-12, 6, 9.997928781403173, 0.40772500953019297, -55.928680419921875, 9.996339125541155, 0.3138163796011724, -49.65584945678711, -55.61301040649414, 1.4804314282748436, 0.5, 0.7
2026-04-12_15-29-12, 7, 9.999795862264138, 0.40376996772341955, -55.94805908203125, 9.99991925439505, 0.16288220276695436, -24.999128341674805, -55.75163459777832, 5.206475756589692, 0.6, 0.8
2026-04-12_15-29-12, 8, 9.99980960370495, 0.4037685933742618, -55.94805908203125, 9.999828865292093, 0.0976180333749152, -16.09784507751465, -55.77621078491211, 6.999713425180888, 0.7, 0.9
2026-04-12_15-29-12, 9, 9.99985812669482, 0.4059623689399845, -55.9400634765625, 9.999034583461537, 0.22751231909990732, -35.85676956176758, -55.2894172668457, 3.747729463830486, 0.8, 1.0
