Fecha, Prueba, Mejor X, Mejor Y, Mejor solucion, Peor X, Peor Y, Peor Solucion, Mediana, Desviacion estandar, Probabilidad de mutacion, Probabilidad de cruce
2026-04-12_16-35-29, 0, 9.359861726132333, 0.3425724486983268, -22.11333656311035, 9.049531593823545, 0.34328745527501003, -21.12479591369629, -21.516931533813477, 0.34187633065836953, 0.01, 0.1
2026-04-12_16-35-29, 1, 9.997741599207446, 0.33649933555608935, -23.23130989074707, 9.993488102079098, 0.3363316065277476, -23.01284408569336, -23.22085189819336, 0.055946290532632746, 0.05, 0.2
2026-04-12_16-35-29, 2, 9.987554802228209, 0.3458709152244918, -23.282472610473633, 9.997788277146704, 0.26319924916266263, -20.25535774230957, -23.282472610473633, 0.48705026507661, 0.1, 0.3
2026-04-12_16-35-29, 3, 9.986622779130993, 0.34591216816466175, -23.2685604095459, 9.981872921969403, 0.4091146614780246, -21.04438018798828, -23.2685604095459, 0.46373094445325735, 0.2, 0.4
2026-04-12_16-35-29, 4, 9.988506814556798, 0.3396720776123546, -23.228130340576172, 9.978839833460874, 0.154910206757777, -14.58746337890625, -23.16901206970215, 1.810814828737653, 0.3, 0.5
2026-04-12_16-35-29, 5, 9.9982939262229, 0.3443664056553839, -23.32168197631836, 9.99901827594108, 0.23504004380260551, -19.34567642211914, -23.32168197631836, 1.028166227812062, 0.4, 0.6
2026-04-12_16-35-29, 6, 9.998067209335925, 0.34436591404951167, -23.32168197631836, 9.99631468398239, 0.1192190204953188, -12.504247665405273, -23.084930419921875, 1.866226186918075, 0.5, 0.7
2026-04-12_16-35-29, 7, 9.997311631747491, 0.3459073430020044, -23.294734954833984, 9.99782464970855, 0.5602483506924043, -10.197162628173828, -22.814127922058105, 2.4029763349750977, 0.6, 0.8
2026-04-12_16-35-29, 8, 9.989532896096325, 0.34746801148781026, -23.27029800415039, 9.995499781697264, 0.1090499878472232, -11.879707336425781, -22.81793785095215, 1.9859724265565155, 0.7, 0.9
2026-04-12_16-35-29, 9, 9.999569393684828, 0.3349016488134619, -23.273496627807617, 9.998020942961725, 0.19106261611844816, -16.24594497680664, -22.628626823425293, 1.6845672064238093, 0.8, 1.0
