Fecha, Prueba, Mejor X, Mejor Y, Mejor solucion, Peor X, Peor Y, Peor Solucion, Mediana, Desviacion estandar, Probabilidad de mutacion, Probabilidad de cruce
2026-04-11_22-31-01, 0, 26.121379210612734, 0.37368250395195246, -47.142860412597656, 26.121379210612734, 0.37368250395195246, -47.142860412597656, -47.142860412597656, 0.0, 0.01, 0.1
2026-04-11_22-31-01, 1, 43.230520954654274, 0.3867546184487202, -66.16722869873047, 42.436753782487365, 0.38652493766656654, -64.9664306640625, -65.21485900878906, 0.30594246592397434, 0.05, 0.2
2026-04-11_22-31-01, 2, 58.18643146711523, 0.37497901585847276, -85.95317077636719, 109.75051018917522, 0.5502860073924698, -0.447920024394989, -85.95317077636719, 25.329727509921007, 0.1, 0.3
2026-04-11_22-31-01, 3, 120.15092861401646, 0.373987957166377, -137.30209350585938, 230.10047047360638, 0.5496747570202107, -0.44919052720069885, -135.5299072265625, 50.91489491799396, 0.2, 0.4
2026-04-11_22-31-01, 4, 704.898558422996, 0.3736946615586109, -232.22543334960938, 1387.8170806906471, -0.017618555628194865, 1000000000.0, -232.22543334960938, 339934698.848149, 0.3, 0.5
2026-04-11_22-31-01, 5, 855.3264230384486, 0.37462185013651783, -233.59017944335938, 16.29739687126346, 1.1735365279953527, 1000000000.0, -211.09185028076172, 249443866.8105948, 0.4, 0.6
2026-04-11_22-31-01, 6, 2335.316012491453, 0.3710488554665524, -239.70596313476562, 2088.428296384199, 1.4571593780692282, 1000000000.0, -24.8059024810791, 249443851.29310107, 0.5, 0.7
