Fecha, Prueba, Mejor X, Mejor Y, Mejor solucion, Peor X, Peor Y, Peor Solucion, Mediana, Desviacion estandar, Probabilidad de mutacion, Probabilidad de cruce
2026-04-12_00-28-57, 0, 9.623577717883284, 0.33183473908266126, -22.4420166015625, 9.623577717883284, 0.33183473908266126, -22.4420166015625, -22.4420166015625, 0.0, 0.01, 0.1
2026-04-12_00-28-57, 1, 9.978166572458035, 0.33640142256830685, -23.21933937072754, 9.978166572458035, 0.33640142256830685, -23.21933937072754, -23.21933937072754, 0.0, 0.05, 0.2
2026-04-12_00-28-57, 2, 9.973710272712244, 0.3507178509447145, -23.18902587890625, 9.974213703622228, 0.40493217902868417, -21.2962589263916, -23.18902587890625, 0.4411602043468141, 0.1, 0.3
2026-04-12_00-28-57, 3, 9.997609107402246, 0.34120979273942076, -23.19948959350586, 9.992240388892629, 0.4658284534854018, -17.13802146911621, -23.172300338745117, 1.4920086302953597, 0.2, 0.4
2026-04-12_00-28-57, 4, 9.971692477899362, 0.3490970412161175, -23.231334686279297, 9.95422736893497, 0.48976802077095816, -15.793548583984375, -23.231334686279297, 1.424060799711031, 0.3, 0.5
2026-04-12_00-28-57, 5, 9.997091775529508, 0.34274486323518044, -23.326953887939453, 9.99299004703629, 0.1798011304202478, -15.597973823547363, -22.770179748535156, 1.776626754849319, 0.4, 0.6
2026-04-12_00-28-57, 6, 9.989907029179095, 0.3459350146377809, -23.268875122070312, 9.999112859544939, 0.6283808313661683, -5.869619369506836, -23.005306243896484, 3.2278392724109306, 0.5, 0.7
2026-04-12_00-28-57, 7, 9.990913100674968, 0.3474558633019009, -23.27029800415039, 9.993853064376873, 0.23143666340629665, -18.935348510742188, -22.896198272705078, 0.8919948107234996, 0.6, 0.8
2026-04-12_00-28-57, 8, 9.994327090743326, 0.3475064281562669, -23.26767921447754, 9.991728441549201, 0.2819467340872547, -21.51923179626465, -22.843308448791504, 0.37655021631910196, 0.7, 0.9
2026-04-12_00-28-57, 9, 9.984773382700292, 0.34593465654935546, -23.2685604095459, 9.993728070609716, 0.4481580119876783, -18.477550506591797, -22.714468002319336, 1.2055401209331846, 0.8, 1.0
