X, Y, Fitness
9.490460815475709, 0.29180736265061935, -45.39933395385742
2.749791917191461, 0.10869394842486602, -16.176231384277344
8.336663537979085, 0.00029477302668523553, -9.840149879455566
1.0160766171549493, 0.06038515021581026, -7.045562267303467
7.346161558527553, 0.9917172429429026, -4.381524562835693
4.6027182166288245, 0.42489625480879367, -30.333337783813477
0.9256684414821051, 0.7020181062763322, -6.5615458488464355
0.7815137976982371, 0.864431819931181, -5.5046162605285645
0.58557524588959, 0.007734097028628595, -4.214030742645264
0.7597070338773132, 0.9838686660119198, -5.271589756011963
8.47842203593967, 0.9182461579138227, -5.418277263641357
5.835974554281443, 0.5346673530972468, -33.62818145751953
9.834109602082103, 0.2468682962010489, -39.06242752075195
2.0495523734209615, 0.43894052484872204, -14.345383644104004
5.336994816807352, 0.5542123339698132, -30.811708450317383
1.4112987586483776, 0.8867780373778968, -9.056973457336426
8.533192131238993, 0.0657684453472831, -14.76222038269043
4.6111432237493615, 0.9916770660693391, -8.817753791809082
9.508383257763015, 0.8220836354440398, -8.896939277648926
1.8095561815478451, 0.6072123617764381, -12.37840461730957
4.83630696735515, 0.5622864675001059, -28.471317291259766
5.746708500545721, 0.23465882689842177, -30.350175857543945
6.462493732084028, 0.8985290945068609, -9.1841402053833
4.285885531526416, 0.5712314324279409, -25.883865356445312
4.258086348429011, 0.41371033353263786, -28.41707420349121
8.078443488992068, 0.9073667554633733, -6.322838306427002
5.057946771080048, 0.9055695935193215, -11.233777046203613
4.962518522245883, 0.6117147067536587, -26.697433471679688
7.9878684714614225, 0.02659874789337746, -12.30806827545166
9.74280799070286, 0.9432899089666181, -3.3779873847961426
6.000955405605986, 0.9879164096111915, -6.454483985900879
7.850248680221118, 0.6022461356087153, -32.5648307800293
4.308988267374806, 0.9094620196162242, -12.191486358642578
7.706881995289929, 0.8600983306037984, -9.11225414276123
2.4840713932616785, 0.8323075421612959, -13.520825386047363
7.495512843420221, 0.8427872514692468, -10.415068626403809
1.3527655407187813, 0.40330746216733215, -9.591130256652832
2.5869686069773294, 0.9509772726483584, -11.799036026000977
6.78242306521758, 0.9395995589645364, -6.89005184173584
5.560902317538217, 0.2243099312374769, -29.181859970092773
