Prueba, Mejor X, Mejor Y, Mejor solucion, Peor X, Peor Y, Peor Solucion, Mediana, Desviacion estandar, Probabilidad de mutacion, Probabilidad de cruce
Prueba, Mejor X, Mejor Y, Mejor solucion, Peor X, Peor Y, Peor Solucion, Mediana, Desviacion estandar, Probabilidad de mutacion, Probabilidad de cruce
0, -2.897478349188184, -2.9037576520515938, -78.33169772978138, -2.897322099039172, -2.9037576520515938, -78.33166468745719, -78.33166468745719, 6.474946734596795e-06, 0.01, 0.1
1, -2.9036014019025824, -2.879997863767494, -78.32282822712381, -4.183602622606871, -2.879997863767494, -36.4666223687357, -78.32282822712381, 4.164638009123713, 0.05, 0.2
2, -2.879997863767494, -2.903435386119257, -78.32282813737251, -3.519998474119639, -2.903435386119257, -70.32840280330352, -78.32282813737251, 0.7966698171078254, 0.1, 0.3
3, -2.9035330424623895, -2.9037576520515938, -78.33233054274942, -2.9035330424623895, -4.183758872755883, -36.46409161839636, -78.33233054274942, 4.49765242761114, 0.2, 0.4
4, -2.8999978828409985, -2.9037576520515938, -78.33211458062416, -0.33999544143242044, -2.9037576520515938, -40.93424732246713, -78.33211458062416, 5.541830201872478, 0.3, 0.5
5, -2.9035330424623895, -2.9037576520515938, -78.33233054274942, -2.9035330424623895, -0.34375521064301573, -40.96391309297194, -78.33233054274942, 5.159019303980842, 0.4, 0.6
6, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -4.1835342631666785, -2.9435330806093982, -36.45335155473045, -78.33233134088293, 9.262575995294485, 0.5, 0.7
7, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -4.1835342631666785, -2.9035330424623895, -36.48138959761498, -78.33233099065447, 7.759787723875705, 0.6, 0.8
8, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -4.1835342631666785, -2.9034939799251367, -36.481389569899456, -78.33189939464106, 10.646373225126482, 0.7, 0.9
9, -2.9035330424623895, -2.8999978828409985, -78.332115445384, -4.183465903726486, -2.899919757766493, -36.48642770438674, -78.33195236123802, 10.365907521301505, 0.8, 1.0
Prueba, Mejor X, Mejor Y, Mejor solucion, Peor X, Peor Y, Peor Solucion, Mediana, Desviacion estandar, Probabilidad de mutacion, Probabilidad de cruce
0, -2.879997863767494, -2.879997863767494, -78.31332520369028, -2.879997863767494, -2.879841613618482, -78.31319911513425, -78.31332520369028, 1.2545652921267755e-05, 0.01, 0.1
1, -2.905007653243688, -2.9035428080967027, -78.33229383782232, -2.905007653243688, -2.5835425029206305, -76.74676356553832, -78.33229383782232, 0.1577582273895282, 0.05, 0.2
2, -2.902497885225187, -2.903435386119257, -78.33231268172096, -2.902497885225187, -4.1834366068235465, -36.488890499891966, -78.33231268172096, 6.868091483218306, 0.1, 0.3
