Fecha,Prueba,Mejor X,Mejor Y,Mejor solucion,Peor X,Peor Y,Peor Solucion,Mediana,Desviacion estandar,Probabilidad de mutacion,Probabilidad de cruce
2026-04-13_05-44-58,0,9.95764846126117,0.32414348912443663,-23.467164993286133,9.214497398561544,0.34038299720107296,-22.873275756835938,-22.873275756835938,0.08314449310302735,0.01,0.1
2026-04-13_05-44-58,1,9.973842840949485,0.3109119425639374,-23.543163299560547,9.954310631886603,0.3790596964819185,-23.007539749145508,-23.516847610473633,0.07510933348935231,0.05,0.2
2026-04-13_05-44-58,2,9.999288955545905,0.31063219218666055,-23.565866470336914,9.999652326059307,0.41516380884991555,-22.29098129272461,-23.565866470336914,0.1861705265183993,0.1,0.3
2026-04-13_05-44-58,3,9.999138597346821,0.3242589410293785,-23.5966796875,9.998417190369306,0.5031756942730394,-19.011079788208008,-23.5966796875,0.7295226628055982,0.2,0.4
2026-04-13_05-44-58,4,9.996648128475877,0.3243000877481111,-23.593679428100586,9.99857378633571,0.5314096719350119,-17.77182960510254,-23.592939376831055,0.9118687635795377,0.3,0.5
2026-04-13_05-44-58,5,9.998720390751537,0.32427631665563145,-23.595449447631836,9.998546052214529,0.3997655644930645,-22.660396575927734,-23.483110427856445,0.21966448297249694,0.4,0.6
2026-04-13_05-44-58,6,9.980993731654754,0.3245018148581985,-23.583332061767578,9.981484680278516,0.10511434070375747,-18.467357635498047,-23.480656623840332,0.7707781331209489,0.5,0.7
2026-04-13_05-44-58,7,9.998619598821177,0.32408135993835735,-23.59463882446289,9.999101896179374,0.46308524672424595,-20.662914276123047,-23.453682899475098,0.6780969883663036,0.6,0.8
2026-04-13_05-44-58,8,9.999697415399863,0.32426764650468093,-23.5966796875,9.999920301234539,0.09369273427079922,-18.092754364013672,-23.4252986907959,1.001963539714623,0.7,0.9
2026-04-13_05-44-58,9,9.998619084424249,0.32429449428242574,-23.593679428100586,9.99951257410386,0.5121718770650281,-18.651714324951172,-23.399724006652832,0.8573557881447067,0.8,1.0
