Fecha,Prueba,Mejor X,Mejor Y,Mejor solucion,Peor X,Peor Y,Peor Solucion,Mediana,Desviacion estandar,Probabilidad de mutacion,Probabilidad de cruce
2026-04-13_05-44-58,0,9.961414440403255,0.20829952601942056,-17.477712631225586,9.961414440403255,0.20829952601942056,-17.477712631225586,-17.477712631225586,0.0,0.01,0.1
2026-04-13_05-44-58,1,9.999616540225432,0.20808830395412634,-17.575180053710938,9.999616540225432,0.20808830395412634,-17.575180053710938,-17.575180053710938,0.0,0.05,0.2
2026-04-13_05-44-58,2,9.987607648990847,0.19635735029046938,-17.592744827270508,9.981643234870502,0.07154098591156119,-13.238750457763672,-17.592744827270508,0.6276632901096667,0.1,0.3
2026-04-13_05-44-58,3,9.999741389526811,0.2043199924895698,-17.599140167236328,9.99983417214859,0.32202782442047584,-13.553849220275879,-17.599140167236328,0.588685552283427,0.2,0.4
2026-04-13_05-44-58,4,9.98533481831865,0.19633728259437128,-17.592744827270508,9.981356018010375,0.09656576614255996,-14.51135540008545,-17.592744827270508,0.46910436047630627,0.3,0.5
2026-04-13_05-44-58,5,9.998828364262584,0.20430915358402305,-17.599140167236328,9.99792115711728,0.07015978601561254,-13.126574516296387,-17.584779739379883,0.9962768429304449,0.4,0.6
2026-04-13_05-44-58,6,9.992407567353156,0.19639733005097684,-17.59352684020996,9.99014353963758,0.32896634525831514,-13.211810111999512,-17.554073333740234,0.9766855015634583,0.5,0.7
2026-04-13_05-44-58,7,9.9994078143803,0.19638229289937015,-17.59496307373047,9.998740301847171,0.009070945591629215,-9.61618423461914,-17.318214416503906,1.2994498399623042,0.6,0.8
2026-04-13_05-44-58,8,9.998199664795386,0.1964588384725766,-17.59702491760254,9.999983084989243,0.374813107035322,-10.618280410766602,-17.386698722839355,1.4681450722999672,0.7,0.9
2026-04-13_05-44-58,9,9.999978666354203,0.19647162783250538,-17.59702491760254,9.99995614536072,0.05528987140876826,-12.300871849060059,-17.45269775390625,1.2168538483942601,0.8,1.0
