k,Xk,Gradiente,Xk + 1,Tolerancia
1,"(-1, -1)","(16.5, 16.5)","(-1.165, -1.165)",0.23334523779156074
2,"(-1.165, -1.165)","(17.97766575, 17.97766575)","(-1.3447766575, -1.3447766575)",0.25424258723460275
3,"(-1.3447766575, -1.3447766575)","(19.152573060471948, 19.152573060471948)","(-1.5363023881047195, -1.5363023881047195)",0.2708582857646102
4,"(-1.5363023881047195, -1.5363023881047195)","(19.828799516646917, 19.828799516646917)","(-1.7345903832711886, -1.7345903832711886)",0.2804215720201913
5,"(-1.7345903832711886, -1.7345903832711886)","(19.81536186693054, 19.81536186693054)","(-1.932744001940494, -1.932744001940494)",0.2802315349554382
6,"(-1.932744001940494, -1.932744001940494)","(18.984376000606645, 18.984376000606645)","(-2.1225877619465603, -2.1225877619465603)",0.26847962013248194
7,"(-2.1225877619465603, -2.1225877619465603)","(17.335280353100018, 17.335280353100018)","(-2.2959405654775606, -2.2959405654775606)",0.24515788582893927
8,"(-2.2959405654775606, -2.2959405654775606)","(15.029668222854848, 15.029668222854848)","(-2.446237247706109, -2.446237247706109)",0.21255160638729234
9,"(-2.446237247706109, -2.446237247706109)","(12.362853466629687, 12.362853466629687)","(-2.569865782372406, -2.569865782372406)",0.17483715042138967
10,"(-2.569865782372406, -2.569865782372406)","(9.673985204232693, 9.673985204232693)","(-2.666605634414733, -2.666605634414733)",0.13681081078022517
11,"(-2.666605634414733, -2.666605634414733)","(7.2423682078604585, 7.2423682078604585)","(-2.7390293164933373, -2.7390293164933373)",0.1024225534325596
12,"(-2.7390293164933373, -2.7390293164933373)","(5.226530596487166, 5.226530596487166)","(-2.7912946224582087, -2.7912946224582087)",0.07391430453710061
13,"(-2.7912946224582087, -2.7912946224582087)","(3.66494307389803, 3.66494307389803)","(-2.827944053197189, -2.827944053197189)",0.05183012200431919
14,"(-2.827944053197189, -2.827944053197189)","(2.515454329574851, 2.515454329574851)","(-2.8530985964929374, -2.8530985964929374)",0.035573896284148754
15,"(-2.8530985964929374, -2.8530985964929374)","(1.7001532020687193, 1.7001532020687193)","(-2.8701001285136245, -2.8701001285136245)",0.024043797164776157
16,"(-2.8701001285136245, -2.8701001285136245)","(1.1368473922498552, 1.1368473922498552)","(-2.881468602436123, -2.881468602436123)",0.01607745000468241
17,"(-2.881468602436123, -2.881468602436123)","(0.7546293069809167, 0.7546293069809167)","(-2.8890148955059325, -2.8890148955059325)",0.010672070004966498
18,"(-2.8890148955059325, -2.8890148955059325)","(0.4984496502050959, 0.4984496502050959)","(-2.8939993920079834, -2.8939993920079834)",0.0070491425548016426
19,"(-2.8939993920079834, -2.8939993920079834)","(0.32815485658106525, 0.32815485658106525)","(-2.8972809405737943, -2.8972809405737943)",0.004640810487355705
20,"(-2.8972809405737943, -2.8972809405737943)","(0.21557018488816482, 0.21557018488816482)","(-2.899436642422676, -2.899436642422676)",0.0030486227911214092
21,"(-2.899436642422676, -2.899436642422676)","(0.14140778020355071, 0.14140778020355071)","(-2.9008507202247116, -2.9008507202247116)",0.0019998080058893507
22,"(-2.9008507202247116, -2.9008507202247116)","(0.09267158701179312, 0.09267158701179312)","(-2.9017774360948296, -2.9017774360948296)",0.0013105741519873378
23,"(-2.9017774360948296, -2.9017774360948296)","(0.06069456948549856, 0.06069456948549856)","(-2.902384381789685, -2.902384381789685)",0.0008583508332881841
24,"(-2.902384381789685, -2.902384381789685)","(0.03973525260428801, 0.03973525260428801)","(-2.902781734315728, -2.902781734315728)",0.0005619413313732252
25,"(-2.902781734315728, -2.902781734315728)","(0.026006750432664205, 0.026006750432664205)","(-2.9030418018200543, -2.9030418018200543)",0.0003677909917510598
26,"(-2.9030418018200543, -2.9030418018200543)","(0.017018458477394915, 0.017018458477394915)","(-2.9032119864048282, -2.9032119864048282)",0.00024067734789410237
27,"(-2.9032119864048282, -2.9032119864048282)","(0.011135368908441023, 0.011135368908441023)","(-2.9033233400939125, -2.9033233400939125)",0.0001574778973231735
28,"(-2.9033233400939125, -2.9033233400939125)","(0.007285451098717033, 0.007285451098717033)","(-2.9033961946048996, -2.9033961946048996)",0.00010303183751809082
29,"(-2.9033961946048996, -2.9033961946048996)","(0.00476636157318211, 0.00476636157318211)","(-2.9034438582206312, -2.9034438582206312)",6.740653179937956e-05
